"";"Genera_Prefix";"Lineage_Name";"Lineage";"parasiteGenus";"order";"family";"genus";"species";"Host_Environment";"continent";"country";"Latitude";"Longitude";"strategy_3";"distance_4";"distance_quanti_RES0";"distance_quanti_ALL"
"4762";"L_";"HYMAD01";"L_HYMAD01";"Leucocytozoon";"Passeriformes";"Nectariniidae";"Nectarinia";"Nectarinia_humbloti";"Wild";"Africa";"Comoros";-10,9333333333333;43,8722222222222;"resident";"resident";"0";"18.2552258117917"
"4763";"L_";"HYPAR01";"L_HYPAR01";"Leucocytozoon";"Passeriformes";"Pycnonotidae";"Hypsipetes";"Hypsipetes_parvirostris";"Wild";"Africa";"Comoros";-10,9333333333333;43,8722222222222;"resident";"resident";"0";"18.4364900051584"
"4764";"P_";"HYPCAN01";"P_HYPCAN01";"Plasmodium";"Passeriformes";"Thamnophilidae";"Hypocnemis";"Hypocnemis_cantator";"Wild";"South_America";"Ecuador";-1,88333333333333;-76,2666666666667;"resident";"resident";"0";"252.062879877465"
"4765";"P_";"HYPCAN02";"P_HYPCAN02";"Plasmodium";"Passeriformes";"Thamnophilidae";"Hypocnemis";"Hypocnemis_cantator";"Wild";"South_America";"Brazil";-12,2;-58,3166666666667;"resident";"resident";"0";"252.062879877465"
"4766";"H_";"HYPHI01";"H_HYPHI01";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Ixos";"Ixos_philippinus";"Wild";"Asia";"Philippines";14,4333333333333;123,063888888889;"resident";"resident";"0";"183.299768645927"
"4767";"H_";"HYPHI02";"H_HYPHI02";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Ixos";"Ixos_philippinus";"Wild";"Asia";"Philippines";14,4333333333333;123,063888888889;"resident";"resident";"0";"183.299768645927"
"4768";"H_";"HYPHI03";"H_HYPHI03";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Ixos";"Ixos_philippinus";"Wild";"Asia";"Philippines";14,4333333333333;123,063888888889;"resident";"resident";"0";"183.299768645927"
"4769";"H_";"HYPHI03";"H_HYPHI03";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Ixos";"Ixos_philippinus";"Wild";"Asia";"Philippines";14,3527777777778;123,202777777778;"resident";"resident";"0";"183.299768645927"
"4770";"H_";"HYPHI03";"H_HYPHI03";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Ixos";"Ixos_philippinus";"Wild";"Asia";"Philippines";13,55;124,216666666667;"resident";"resident";"0";"183.299768645927"
"4771";"H_";"HYPHI04";"H_HYPHI04";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Ixos";"Ixos_philippinus";"Wild";"Asia";"Philippines";14,4333333333333;123,063888888889;"resident";"resident";"0";"183.299768645927"
"4772";"H_";"HYPHI04";"H_HYPHI04";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Hypsipetes";"Hypsipetes_leucocephalus";"Wild";"Asia";"India";13,3888888888889;77,0222222222222;"partial_mig";"short";"1023.5022431674";"1023.5022431674"
"4773";"H_";"HYPHI05";"H_HYPHI05";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Ixos";"Ixos_philippinus";"Wild";"Asia";"Philippines";14,4333333333333;123,063888888889;"resident";"resident";"0";"183.299768645927"
"4774";"H_";"HYPHI06";"H_HYPHI06";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Ixos";"Ixos_philippinus";"Wild";"Asia";"Philippines";14,4333333333333;123,063888888889;"resident";"resident";"0";"183.299768645927"
"4775";"H_";"HYPHI07";"H_HYPHI07";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Ixos";"Ixos_philippinus";"Wild";"Asia";"Philippines";14,4333333333333;123,063888888889;"resident";"resident";"0";"183.299768645927"
"4776";"H_";"HYPHI07";"H_HYPHI07";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Hypsipetes";"Hypsipetes_leucocephalus";"Wild";"Asia";"India";13,0444444444444;77,0444444444445;"partial_mig";"short";"1023.5022431674";"1023.5022431674"
"4777";"H_";"HYPHI07";"H_HYPHI07";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Hypsipetes";"Hypsipetes_leucocephalus";"Wild";"Asia";"India";12,2222222222222;78,1388888888889;"partial_mig";"short";"1023.5022431674";"1023.5022431674"
"4778";"H_";"HYPHI07";"H_HYPHI07";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Hypsipetes";"Hypsipetes_leucocephalus";"Wild";"Asia";"India";12,3388888888889;78,1944444444444;"partial_mig";"short";"1023.5022431674";"1023.5022431674"
"4779";"H_";"HYPHI07";"H_HYPHI07";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Hypsipetes";"Hypsipetes_leucocephalus";"Wild";"Asia";"India";10,8888888888889;79,3888888888889;"partial_mig";"short";"1023.5022431674";"1023.5022431674"
